surveyYear,JobTitle__,RoleMultichoice
2020,Data Coordinator,Analyst
2020,Data Designer,Designer
2020,Data designer,Designer
2020,data designer,Analyst
2020,Data Editor,"Leadership (Manager, Director, VP, etc.)"
2020,Data Editor,Journalist
2020,Data Engineer,Scientist
2020,Data engineer,
2020,Data Engineer,Analyst
2020,Data engineer,Engineer
2020,Data Engineer,Engineer
2020,Data Engineer,Engineer
2020,Data Engineer,Engineer
2020,Data Fellow,Journalist
2020,Data Fellow,Analyst
2020,Data governance coordinator,Engineer
2020,Data Graphics Designer,Designer
2020,Data Integration and Analysis Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data Intelligence Analyst,Analyst
2020,Data Journalist,Journalist
2020,Data Journalist,Student
2020,Data Journalist,
2020,Data Journalist,Journalist
2020,Data Journalist,Journalist
2020,data journalist,Student
2020,Data Journalist,Journalist
2020,Data journalist and researcher,Journalist
2020,"data journalist, project manager",Journalist
2020,Data lead,Analyst
2020,Data Management & Analytics Scrum Master,
2020,Data Management Specialist,Academic/Teacher
2020,Data Manager,Analyst
2020,Data Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data Manager,Analyst
2020,Data Operations Lead,Engineer
2020,Data Products Developer,Developer
2020,Data project manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data Reporter,Journalist
2020,Data Reporting Coordinator,"Leadership (Manager, Director, VP, etc.)"
2020,Data Science Coach,Academic/Teacher
2020,Data Science Intern,Engineer
2020,Data scientist,Analyst
2020,Data Scientist,Engineer
2020,Data Scientist,Analyst
2020,Data Scientist,Designer
2020,Data Scientist,Scientist
2020,Data Scientist,Scientist
2020,Data Scientist,Analyst
2020,Data Scientist,Analyst
2020,Data Scientist,Analyst
2020,Data Scientist,
2020,Data scientist,Analyst
2020,Data Scientist,Analyst
2020,Data Scientist,Scientist
2020,Data scientist,Academic/Teacher
2020,Data scientist,Scientist
2020,Data scientist,Analyst
2020,Data Scientist,Analyst
2020,Data Scientist,Developer
2020,Data Scientist,Scientist
2020,Data Scientist,Scientist
2020,data scientist,Academic/Teacher
2020,Data Scientist,
2020,Data Scientist,Engineer
2020,Data Scientist,Scientist
2020,Data scientist,Developer
2020,Data Scientist,Scientist
2020,Data scientist,Scientist
2020,Data Scientist,Engineer
2020,Data Scientist,Developer
2020,Data scientist,Scientist
2020,data scientist,Analyst
2020,Data Scientist,Scientist
2020,Data Scientist,Scientist
2020,Data Scientist,Scientist
2020,Data Scientist,Analyst
2020,Data Scientist / Senior Consultant,Analyst
2020,Data Scientist / Software Engineer,Engineer
2020,Data Scientist & Analyst,Analyst
2020,Data Scientist + Data Analyst,Engineer
2020,Data Scientist and Analyst,Student
2020,Data Services Librarian,Academic/Teacher
2020,Data Solutions Analyst,Analyst
2020,Data Standards Manager,Analyst
2020,Data Storyteller,Analyst
2020,data storyteller,Academic/Teacher
2020,Data Strategist,Designer
2020,Data Strategist,"Leadership (Manager, Director, VP, etc.)"
2020,Data Strategy Coordinator,"Leadership (Manager, Director, VP, etc.)"
2020,Data Systems Analyst,Analyst
2020,Data Trainee,Analyst
2020,Data Visualisation and Analytics Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data Visualisation CoE Lead,"Leadership (Manager, Director, VP, etc.)"
2020,Data Visualisation Consultant,Developer
2020,Data visualisation designer,Designer
2020,Data visualisation designer,Designer
2020,Data visualisation developer,Developer
2020,Data Visualisation Director,Analyst
2020,Data visualisation officer,None of these describes my role
2020,Data Visualisation Officer,Analyst
2020,Data Visualisation Producer,Analyst
2020,Data Visualizatiom Designer,
2020,Data Visualization Advisor,Designer
2020,Data Visualization Analyst,Analyst
2020,Data Visualization Analyst,Analyst
2020,Data Visualization Analyst,Analyst
2020,Data Visualization Analyst,Designer
2020,Data Visualization Analyst,Analyst
2020,Data Visualization Analyst,Developer
2020,Data Visualization Artist,Analyst
2020,Data Visualization Consultant,None of these describes my role
2020,Data Visualization Consultant,Designer
2020,Data visualization consultant,None of these describes my role
2020,Data Visualization Consulting Analyst,Analyst
2020,Data Visualization Designer,None of these describes my role
2020,data visualization designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Teacher
2020,Data Visualization Designer,Designer
2020,Data Visualization Designer,Designer
2020,Data visualization designer,Designer
2020,Data Visualization Designer,Designer
2020,Data visualization designer & developer,Designer
2020,Data visualization designer and developer,Developer
2020,Data Visualization Developer,Analyst
2020,Data Visualization Developer,Developer
2020,data visualization developer,Developer
2020,Data Visualization Developer,Developer
2020,Data Visualization Developer // Design Technologist,Developer
2020,Data visualization editor,Journalist
2020,Data Visualization Engineer,Developer
2020,Data Visualization Engineer,Engineer
2020,Data Visualization Engineer,Engineer
2020,Data visualization engineer,Developer
2020,Data Visualization Engineer,Engineer
2020,Data Visualization Engineer,Designer
2020,Data Visualization Engineer,Analyst
2020,Data Visualization Engineer,Developer
2020,Data visualization Engineer,Developer
2020,Data Visualization Engineer,Engineer
2020,Data Visualization Engineer,Designer
2020,Data Visualization Engineer,Engineer
2020,Data Visualization Engineer,Engineer
2020,Data Visualization Engineer,Engineer
2020,Data Visualization Engineer,Designer
2020,Data Visualization Engineer,Analyst
2020,Data Visualization Engineer,Scientist
2020,Data Visualization Expert,Designer
